,index,brand_name,med,logmedian,std,count,brand_group
0,1161,Demdaco,429.0,4.57097722955486,592.5554826343268,2,4
1,330,Auto Meter,344.0,5.84354441703136,0.0,1,0
2,3005,Oris,300.0,5.707110264748875,0.0,1,0
3,3916,Tag Heuer,300.0,5.6931195812988244,277.85219255764554,12,5
4,3269,Proenza Schouler,285.0,5.655991810819852,511.90852047346635,3,5
5,4484,iRobot,284.0,5.652489180268651,0.0,1,0
6,1113,Dainese,230.0,5.442417710521793,0.0,1,0
7,1567,Frédérique Constant,224.0,5.41610040220442,0.0,1,0
8,571,Blendtec,215.0,5.361974985198804,66.26210581219605,4,5
9,2695,Mikimoto,213.0,5.261319146591969,131.52186130069785,2,5
10,769,Canada Goose,210.0,5.3442079831067275,187.90730575354317,10,5
11,1137,David Yurman,204.0,5.3230099791384085,160.55042188395242,223,5
12,898,Chloé,200.0,5.303304908059076,137.93404220858605,5,5
13,3820,Stephen Webster,200.0,5.303304908059076,0.0,1,0
14,672,Brioni,200.0,5.303304908059076,0.0,1,0
15,1001,Contours,197.5,5.290709783644797,3.5355339059327378,2,5
16,4252,Vitamix,197.5,5.290074798418106,100.89532529640145,6,5
17,144,Alexander Wang,195.5,5.280400140043429,131.35857742100043,30,5
18,2581,Mansur Gavriel,191.0,5.117096597131502,134.35028842544403,2,5
19,4024,Tiffany Designs,182.5,5.196279122249544,125.71621481203874,6,5
20,652,BrazilRoxx,181.0,5.204006687076795,0.0,1,0
21,2535,Mackintosh,180.0,5.198497031265826,79.43739673478733,5,5
22,3999,Thom Browne,180.0,5.198497031265826,0.0,1,0
23,1933,Ingersoll-Rand,176.5,4.709651929858279,195.86857838867365,2,4
24,2574,Mandalay,175.0,5.170483995038151,0.0,1,0
25,424,Balenciaga,174.0,5.1647859739235145,153.41635704513578,59,5
26,3420,Rick Owens,170.0,4.9837004391398905,125.86500705120545,2,4
27,1481,Filson,160.0,5.081404364984463,86.58714300248815,3,5
28,2551,Maggie Sottero,159.5,4.956966405198833,143.8995019680981,6,4
29,4097,Tria,159.0,5.075173815233827,123.22754472023605,9,5
30,4386,Yamaha,159.0,5.075173815233827,52.252591642265294,3,5
31,4022,Tieks,156.0,5.056245805348308,48.71640322583771,141,5
32,1088,Céline,153.0,5.036762821081616,91.01631555369454,12,5
33,904,Christian Louboutin,151.0,5.0238805208462765,139.32077139534036,301,5
34,768,Camilia,151.0,5.0238805208462765,0.0,1,0
35,3646,Sherri Hill,150.5,5.020580178830601,103.58782559798613,174,5
36,2960,Oki,149.0,5.0106352940962555,0.0,1,0
37,2528,MZ Wallace,146.0,4.990432586778736,37.85762802923606,5,4
38,314,Audemars Piguet,143.5,4.869719020264811,88.38834764831844,2,4
39,191,Alyce Paris,142.0,4.872978082274696,82.02438661763951,2,4
40,3341,Rand McNally,140.5,4.921656414750029,48.79036790187178,2,4
41,3699,Skywalker Trampolines,140.0,4.948759890378168,0.0,1,0
42,3767,Spell & The Gypsy Collective,139.5,4.933359914171957,83.64456853946854,26,4
43,2441,Longines,138.0,4.338378880543788,164.04877323527901,2,4
44,3948,Technics,137.0,4.927253685157205,0.0,1,0
45,2112,Jovani,136.0,4.919980925828125,92.91587920173642,59,4
46,837,Celine,135.0,4.912654885736052,304.27427265213845,71,4
47,3643,Shell,135.0,4.912654885736052,0.0,1,0
48,2513,MICHELE,134.0,4.90527477843843,235.98187813582345,47,4
49,1859,Hoverboard,130.0,4.875197323201151,60.289660284785995,52,4
50,2508,MCM Worldwide,129.0,4.867534450455582,373.62851543191886,57,4
51,1578,G-III,129.0,4.867534450455582,64.11162141141027,5,4
52,1677,Go Gear,129.0,4.867534450455582,119.89584674414772,69,4
53,4192,Valco Baby,127.0,4.852030263919617,0.0,1,0
54,4372,Xenith,125.0,4.764760555743667,65.05382386916237,2,4
55,3202,PoGo! Products,125.0,4.836281906951478,111.75492667602462,11,4
56,1399,Euro-Pro,125.0,4.836281906951478,0.0,1,0
57,2775,Motorola Consumer Radios,125.0,4.726250964563077,79.19595949289332,2,4
58,2743,Moncler,124.0,4.8283137373023015,138.5272051304899,23,4
59,2534,Mackage,122.0,4.812184355372417,198.92460883460348,3,4
60,701,Bully Dog,120.0,4.795790545596741,0.0,1,0
61,1598,Gaggia,120.0,4.795790545596741,0.0,1,0
62,453,Barnett Crossbows,120.0,4.795790545596741,72.85830998131465,3,4
63,3575,Scala,120.0,4.795790545596741,72.81321058958763,11,4
64,830,Catit,119.0,4.787491742782046,0.0,1,0
65,1662,Giuseppe Zanotti,116.0,4.758507960460248,147.2458958550419,26,4
66,2563,Maison Martin Margiela,112.5,4.725701211896369,52.130605214211734,6,4
67,3111,Peg Perego,110.0,4.709530201312334,35.22357165308481,5,4
68,2142,K&N Engineering,109.0,4.700480365792417,0.0,1,0
69,3928,Tanner Mark,109.0,4.683672060392924,28.284271247461902,2,4
70,1562,Frigidaire,109.0,4.700480365792417,0.0,1,0
71,2532,Mac Duggal,107.5,4.686654600127161,80.4646106771702,8,4
72,3778,Spin Master,107.0,4.68213122712422,67.4986705265454,431,4
73,2463,Lucchese,106.5,4.670684317191293,42.761589907632896,8,4
74,3317,RLX Ralph Lauren,106.0,4.672828834461906,0.0,1,0
75,2838,Natasha Denona,105.0,4.663439094112067,71.92936349873627,13,4
76,4214,Veronica Beard,105.0,4.663439094112067,0.0,1,0
77,301,Aspeed,105.0,3.850600090428723,134.35028842544403,2,3
78,3961,Terani Couture,105.0,4.663439094112067,72.57384953523987,11,4
79,1687,GolfBuddy,105.0,4.506614998854395,77.78174593052023,2,4
80,3601,Sean Collection,100.5,4.484261777698176,70.0035713374682,2,4
81,864,Charles Klein,100.0,4.61512051684126,0.0,1,0
82,1749,Haier,100.0,4.61512051684126,0.0,1,0
83,2507,MCM,100.0,4.61512051684126,175.00005527311558,159,4
84,3535,Saint Laurent,100.0,4.61512051684126,358.64120240062937,99,4
85,4343,Winterland,100.0,4.61512051684126,0.0,1,0
86,2859,Nest,100.0,4.61512051684126,66.47096021713958,55,4
87,2356,Lenovo,100.0,4.61512051684126,102.13154369120623,29,4
88,3467,Rolex,100.0,4.61512051684126,110.34798967231517,141,4
89,4193,Valentino,99.5,4.608657992856304,198.12967039828948,90,4
90,869,Charlotte Olympia,99.0,4.605170185988092,42.579337712087536,3,4
91,3633,Shane Company,99.0,4.605170185988092,0.0,1,0
92,4110,True Grit,99.0,4.605170185988092,48.63840503598411,9,4
93,219,Anderson Bean,99.0,4.60014501806134,14.142135623730951,2,4
94,3839,Stuart Weitzman,98.0,4.594915747672321,193.2107354980264,56,4
95,2977,Omega,97.5,4.581938748782921,197.7665290184363,10,4
96,2449,Louis Vuitton,97.5,4.589940582245737,236.44104461914765,2764,4
97,1290,EVGA,96.0,4.574710978503383,124.43686484853808,21,4
98,2046,Jeremy Scott x Adidas,96.0,4.574710978503383,55.67764362830022,3,4
99,2297,La Femme,95.5,4.563588065357706,76.51881576884647,16,4
100,3588,Scope Brand Shop,95.0,4.564348191467836,0.0,1,0
101,3249,Prevue Pet Products,95.0,4.564348191467836,0.0,1,0
102,577,Blitz®,95.0,4.564348191467836,0.0,1,0
103,4497,mamaRoo,94.5,4.559112541534189,57.714325918110795,62,4
104,1513,Flynn Skye,93.0,4.540514317747922,37.560617673302445,6,4
105,1102,DJI,93.0,4.542785242510116,278.0658713108798,12,4
106,1033,Coulbourne,93.0,4.543294782270004,29.816103031751148,3,4
