,cat_1,cat_2,cat_3,min_logprice,max_logprice,med_logprice
0,Beauty,Bath & Body,Bath,1.3862943611198906,6.338594078203183,2.70805020110221
1,Beauty,Bath & Body,Bathing Accessories,1.3862943611198906,4.330733340286331,2.995732273553991
2,Beauty,Bath & Body,Cleansers,1.3862943611198906,5.3471075307174685,2.3978952727983707
3,Beauty,Bath & Body,Other,1.3862943611198906,5.1298987149230735,2.772588722239781
4,Beauty,Bath & Body,Scrubs & Body Treatments,1.3862943611198906,5.303304908059076,2.9444389791664403
5,Beauty,Bath & Body,Sets,1.3862943611198906,5.564520407322694,2.8903717578961645
6,Beauty,Fragrance,Candles & Home Scents,1.3862943611198906,5.187385805840755,2.9444389791664403
7,Beauty,Fragrance,Kids,1.3862943611198906,3.091042453358316,2.1972245773362196
8,Beauty,Fragrance,Men,1.3862943611198906,5.771441123130016,3.1780538303479458
9,Beauty,Fragrance,Other,1.3862943611198906,4.499809670330265,2.8617925509761903
10,Beauty,Fragrance,Sets,1.3862943611198906,5.739792912179234,3.044522437723423
11,Beauty,Fragrance,Women,1.3862943611198906,6.298949246855942,2.9444389791664403
12,Beauty,Hair Care,Conditioners,1.6094379124341003,4.90527477843843,2.9444389791664403
13,Beauty,Hair Care,Hair & Scalp Treatments,1.3862943611198906,5.220355825078324,2.70805020110221
14,Beauty,Hair Care,Hair Color,1.3862943611198906,4.820281565605037,2.3978952727983707
15,Beauty,Hair Care,Hair Loss Products,1.9459101490553132,5.37989735354046,2.9444389791664403
16,Beauty,Hair Care,Hair Perms & Texturizers,2.302585092994046,4.174387269895637,2.6390573296152584
17,Beauty,Hair Care,Hair Relaxers,1.791759469228055,2.70805020110221,2.0794415416798357
18,Beauty,Hair Care,Other,1.3862943611198906,5.10594547390058,2.833213344056216
19,Beauty,Hair Care,Shampoo & Conditioner Sets,1.3862943611198906,5.14166355650266,2.995732273553991
20,Beauty,Hair Care,Shampoo Plus Conditioner,1.3862943611198906,4.804021044733257,3.091042453358316
21,Beauty,Hair Care,Shampoos,1.3862943611198906,4.394449154672439,2.70805020110221
22,Beauty,Hair Care,Styling Products,1.3862943611198906,5.480638923341991,2.6390573296152584
23,Beauty,Hair Care,Styling Tools,1.3862943611198906,4.844187086458591,3.044522437723423
24,Beauty,Makeup,Body,1.3862943611198906,5.420534999272286,2.1972245773362196
25,Beauty,Makeup,Brushes & Applicators,1.3862943611198906,5.605802066295998,2.3978952727983707
26,Beauty,Makeup,Eyes,1.3862943611198906,6.008813185442595,2.5649493574615367
27,Beauty,Makeup,Face,1.3862943611198906,7.601402334583733,2.772588722239781
28,Beauty,Makeup,Lips,1.3862943611198906,6.8885724595653635,2.70805020110221
29,Beauty,Makeup,Makeup Palettes,1.3862943611198906,7.323830566202317,3.1354942159291497
30,Beauty,Makeup,Makeup Remover,1.3862943611198906,4.499809670330265,2.5649493574615367
